"openingId","uniqueNodes","maxPly"
"caro-kann-black",613,12
"colle-white",11083,12
"english-white",10324,12
"french-black",577,12
"italian-black",322,12
"italian-white",322,12
"kings-indian-black",175,12
"london-white",11083,12
"nimzo-indian-black",116,12
"petroff-black",668,12
"pirc-black",326,12
"qgd-black",441,12
"queens-gambit-white",2532,12
"queens-indian-black",90,12
"reti-white",1676,12
"ruy-lopez-white",315,12
"scandinavian-black",2959,12
"scotch-white",101,12
"sicilian-black",3282,12
"slav-black",679,12
"vienna-white",1548,12
