"openingId","runtimeMoves","parentNodesWithMoves","minTotalGames","maxTotalGames"
"caro-kann-black",1493,612,1058,77405439
"colle-white",26899,11018,1005,406440662
"english-white",23154,10067,1000,39710847
"french-black",1326,571,1046,105118582
"italian-black",874,322,1077,61569824
"italian-white",874,322,1077,61569824
"kings-indian-black",421,175,1528,21023059
"london-white",26899,11018,1005,406440662
"nimzo-indian-black",300,114,1011,2110744
"petroff-black",1740,663,1015,22808723
"pirc-black",757,322,1000,15787463
"qgd-black",1027,438,1013,33372651
"queens-gambit-white",5996,2519,1013,43850032
"queens-indian-black",180,89,1128,794860
"reti-white",3420,1571,1002,7499447
"ruy-lopez-white",739,314,1109,24160450
"scandinavian-black",6693,2834,1006,144956750
"scotch-white",248,101,3618,56330904
"sicilian-black",7972,3263,1000,236365329
"slav-black",1705,678,1031,22199595
"vienna-white",3791,1525,1007,22983089
